AR                 0   136.0       3.33      0.00      0.00      0.0  
HE                 0   10.2        2.57      0.00      0.00      0.0  
N2                 1   97.5        3.62      0.00      1.76      4.0  
H                  0   145.0       2.05      0.00      0.00      0.0  
O                  0   80.0        2.75      0.00      0.00      0.0  
OH                 1   80.0        2.75      0.00      0.00      0.0  
H2                 1   38.0        2.92      0.00      0.79      280.0
O2                 1   107.0       3.46      0.00      1.60      3.8  
HO2                2   107.0       3.46      0.00      0.00      1.0  
H2O2               2   107.0       3.46      0.00      0.00      3.8  
CO                 1   98.1        3.65      0.00      1.95      1.8  
CO2                1   244.0       3.76      0.00      2.65      2.1  
HCO                2   498.0       3.59      0.00      0.00      0.0  
OH*                1   80.0        2.75      0.00      0.00      0.0  ! = OH
H2O                2   572.0       2.6       1.84      0.00      4.0  
CH2O               2   498.0       3.59      0.0       0.00      2.0  
CH                 1   80.0        2.75      0.0       0.00      0.0  
C                  0   71.4        3.3       0.0       0.00      0.0  
CH2-3              1   144.0       3.8       0.0       0.00      0.0  
CH2-1              1   144.0       3.8       0.0       0.00      0.0  
C2H2               1   209.0       4.1       0.0       0.00      2.5  
CH3                1   144.0       3.8       0.0       0.00      0.0  
CH4                2   141.0       3.75      0.0       2.60      13.0 
HOCHO              2   436.0       3.97      0.0       0.00      2.0  ! = CH2CO
CH2OH              2   417.0       3.69      1.7       0.00      2.0  !
OCHO               2   485.4       4.41      0.0       0.00      1.0  ! Zhao 2008
CH3O               2   417.0       3.69      1.7       0.00      2.0  
C2H4               2   281.0       3.97      0.0       0.00      1.5  
CH2CO              2   436.0       3.97      0.0       0.00      2.0  
C2H6               2   252.0       4.3       0.0       0.00      1.5  
CH3OH              2   482.0       3.63      0.0       0.00      1.0  
CH3O2              2   482.0       3.63      0.0       0.00      1.0  
CH2                1   144.000     3.800     0.000     0.000     0.000
    ! Chemkin database
CH2(S)             1   144.000     3.800     0.000     0.000     0.000
    ! Chemkin database
CH3OO         2 396.7 4.1 0.000 0.000 1.000
    ! ANSYS Workbench Properties Estimator
CH2OOH    2 337.0 4.0 0.000 0.000 1.000
    ! ANSYS Workbench Properties Estimator
CH3C(O)O    2 460.8 4.9 0.000 0.000 1.000
    ! ANSYS Workbench Properties Estimator
CH3C(O)OH   2 460.8 4.9 0.000 0.000 1.000
    ! ANSYS Workbench Properties Estimator
HOCO       2 353.3 3.8 0.000 0.000 1.000
    ! ANSYS Workbench Properties Estimator
HCOH              2    313.0       3.6      0.000     0.000      1.000
    ! ANSYS Workbench Properties Estimator
CH3OOH    2 337.0 4.0 0.000 0.000 1.000
    ! ANSYS Workbench Properties Estimator
CHCHOH  2 343.9 4.0 0.000 0.000 1.000
    ! ANSYS Workbench Properties Estimator
CH3CH2OH             2   362.6       4.53      0.000     0.000     1.000  !(sve)
    ! Chemkin database
    ! [CH3][CH2][OH]   2 396.3 4.5 0.000 0.000 1.000
    ! ANSYS Workbench Properties Estimator
OCHCO  2 417.5 4.6 0.000 0.000 1.000
    ! ANSYS Workbench Properties Estimator
OCHCHO   2 417.5 4.6 0.000 0.000 1.000
    ! ANSYS Workbench Properties Estimator
CH2CHOO 2 415.1 4.4 0.000 0.000 1.000
    ! ANSYS Workbench Properties Estimator
CH3CH2OO     2 415.2 4.6 0.000 0.000 1.000
    ! ANSYS Workbench Properties Estimator
CH3CHOOH     2 415.2 4.6 0.000 0.000 1.000
    ! ANSYS Workbench Properties Estimator
CH2CH2OOH   2 415.2 4.6 0.000 0.000 1.000
    ! ANSYS Workbench Properties Estimator
CH3CHOOH     2 415.2 4.6 0.000 0.000 1.000
    ! ANSYS Workbench Properties Estimator
CH3CH2OOH     2 415.2 4.6 0.000 0.000 1.000
    ! ANSYS Workbench Properties Estimator
CH2CHOOH    2 415.1 4.4 0.000 0.000 1.000
    ! ANSYS Workbench Properties Estimator
CH3OCHOH          2 415.2 4.6 0.000 0.000 1.000
    ! ANSYS Workbench Properties Estimator
CH2OCH2OH      2 415.2 4.6 0.000 0.000 1.000
    ! ANSYS Workbench Properties Estimator
CHOOCO             2   435.2       4.662     2.7       0.0       1.0   ! WJP (FISHER ET AL 2000)
    ! Dooley et al., Int J Chem Kinet 42 (2010) 527-549:
    ! CHOOCO   2 395.1 4.7 0.000 0.000 1.000
    ! ANSYS Workbench Properties Estimator
OCH2O2H  2 373.1 4.1 0.000 0.000 1.000
    ! ANSYS Workbench Properties Estimator
CH3CH2OCH3  2 359.6 4.9 0.000 0.000 1.000
    ! ANSYS Workbench Properties Estimator
CH3CHOCH3 2 359.6 4.9 0.000 0.000 1.000
    ! ANSYS Workbench Properties Estimator

CH2CH2OCH3  2 359.6 4.9 0.000 0.000 1.000
    ! ANSYS Workbench Properties Estimator

CH3CH2OCH2  2 359.6 4.9 0.000 0.000 1.000
    ! ANSYS Workbench Properties Estimator

CH2CHOCH3   2 359.5 4.8 0.000 0.000 1.000
    ! ANSYS Workbench Properties Estimator

CH2CHOCH2 2 359.5 4.8 0.000 0.000 1.000
    ! ANSYS Workbench Properties Estimator
CH3O2H             2   482.0       3.63      0.0       0.00      1.0  
C2H3               2   209.0       4.1       0.0       0.00      1.0  
C2H5               2   252.0       4.3       0.0       0.00      1.5  
C2H5OH             2   225.0       4.16      0.0       0.00      1.0  
C2H5O              2   225.0       4.16      0.0       0.00      1.0  
CH3CHO             2   436.0       3.97      0.0       0.00      2.0  
CH3CO              2   436.0       3.97      0.0       0.00      2.0  
CH2O2H             2   417.0       3.69      1.7       0.00      2.0  ! Hashemi  et al.; Combustion and Flame 182 (2017) 150   166
C2H                1   209.0       4.1       0.0       0.00      2.5  
C2                 1   97.53       3.621     0.0       1.76      4.0  
C2O                1   232.0       3.83      0.0       0.00      1.0  
HCCO               2   150.0       2.5       0.0       0.00      1.0  
H2CC               1   209.0       4.1       0.0       0.00      2.5  ! Aramco 2.0
C3H3               2   252.0       4.76      0.0       0.00      1.0  
C4H2               1   357.0       5.18      0.0       0.00      1.0  
C3H5               2   260.0       4.85      0.0       0.00      1.0  
CH2CHO             2   436.0       3.97      0.0       0.00      2.0  
C2H3OO             2   436.0       3.97      0.0       0.00      2.0  ! Aramco 2.0
HCCOH              2   436.0       3.97      0.0       0.00      2.0  
C4H4               2   357.0       5.18      0.0       0.00      1.0  
C2H2OH             2   224.7       4.162     0.0       0.00      1.0  ! Togbe 2011
C2H3CHO            2   428.8       4.958     2.9       0.00      1.0  ! Burke 2014; Combustion and Flame 161 (2014) 2765   2784
C3H4O              2   411.0       4.82      0.0       0.00      1.0  
CHCHO              2   436.0       3.97      0.0       0.00      2.0  ! Aramco 2.0
CHOCHO             1   440.2       4.01      0.0       0.00      2.0  ! Aramco 2.0
CHOCO              2   436.0       3.97      0.0       0.00      2.0  ! Togbe 2011
CH3CO2             2   436.0       3.97      0.0       0.00      2.0  
CH3CO3             2   436.0       3.97      0.0       0.00      2.0  
CH3CO3H            2   436.0       3.97      0.0       0.00      2.0  
C3H6               2   267.0       4.98      0.0       0.00      1.0  
C3H8               2   267.0       4.98      0.0       0.00      1.0  
I-C3H7             2   267.0       4.98      0.0       0.00      1.0  
N-C3H7             2   267.0       4.98      0.0       0.00      1.0  
C3H4               1   252.0       4.76      0.0       0.00      1.0  
C3H4P              1   252.0       4.76      0.0       0.00      1.0  
CH2CHOH            2   436.0       3.97      0.0       0.00      2.0  
CH3CHOH            2   225.0       4.16      0.0       0.00      1.0  
CH2CH2OH           2   225.0       4.16      0.0       0.00      1.0  
C2H5O2             2   252.0       4.3       0.0       0.00      1.5  
C2H4O1-2           2   436.0       3.97      0.0       0.00      2.0  !
C2H5O2H            2   471.0       4.41      0.0       0.00      1.5  !
C2H5CHO            2   435.0       4.66      2.7       0.00      1.0  !
C2H5CO             2   425.0       4.82      0.0       0.00      1.0  !
C2H4O2H            2   471.0       4.41      0.0       0.00      1.5  !
C2H3O1-2           2   436.0       3.97      0.0       0.00      2.0  ! Burke 2014; Combustion and Flame 161 (2014) 2765   2784
cC2H3O           2 367.9 4.1 0.000 0.000 1.000
    ! ANSYS Workbench Properties Estimator
cC2H4O             2 367.9 4.1 0.000 0.000 1.000
    ! ANSYS Workbench Properties Estimator
CH3CH2O   2 396.3 4.5 0.000 0.000 1.000
    ! ANSYS Workbench Properties Estimator
CH3OCH3       2   395.0       4.037     1.3       0.00      1.0  ! Zhao 2008
CH3OCH2            2   329.4       4.624     0.0       0.00      1.0  ! Zhao 2008
CH3OCH2O2          2   329.4       4.624     0.0       0.00      1.0  ! Zhao 2008
CH3OCH2O2H         2   329.4       4.624     0.0       0.00      1.0  ! Zhao 2008
CH3OCH2O           2   470.9       4.862     0.0       0.00      1.0  ! Zhao 2008
CH3OCHO            2   406.5       4.709     0.0       0.00      1.0  ! Zhao 2008
CH2OCHO            2   395.0       4.037     1.3       0.00      1.0  ! Zhao 2008
CH3OCO             2   406.5       4.709     0.0       0.00      1.0  ! Zhao 2008
CH2OCH2O2H         2   329.4       4.624     0.0       0.00      1.0  ! Zhao 2008
O2CH2OCH2O2H       2   329.4       4.624     0.0       0.00      1.0  ! Zhao 2008
HO2CH2OCHO         2   329.4       4.624     0.0       0.00      1.0  ! Zhao 2008
OCH2OCHO           2   329.4       4.624     0.0       0.00      1.0  ! Zhao 2008
HOCH2OCO           2   329.4       4.624     0.0       0.00      1.0  ! Zhao 2008
HOCH2O             2   481.8       3.626     0.0       0.00      1.0  ! Zhao 2008
CH*                1   80.00       2.75      0.0       0.00      0.0  ! = CH
CH3OCH2OH          2   415.2       4.6      0.000      0.000     1.0  ! ! Added on 2019-07-02 from Hasemi 2019; Combustion and Flame 205 (2019) 80   92
CYOCH2OC*O         2   435.2       4.662     2.7       0.0       1.0   ! WJP (FISHER ET AL 2000)
